Time: 15:24 06/05/2023
PID: 56	 PPID: 2	 Name: cpuhp/7	 State: S	 TTYGID: -1	 Flags: 69239104	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 13	Vmemory: 0	CMD: cpuhp/7	Memory: 0.00 MB	CPU: 0.00%
PID: 57	 PPID: 2	 Name: idle_inject/7	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 13	Vmemory: 0	CMD: idle_inject/7	Memory: 0.00 MB	CPU: 0.00%
PID: 58	 PPID: 2	 Name: migration/7	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 17	Priority: -100	Nice: 0	Threads: 1	Start: 13	Vmemory: 0	CMD: migration/7	Memory: 0.00 MB	CPU: 0.01%
PID: 59	 PPID: 2	 Name: ksoftirqd/7	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 2	 Stime: 23	Priority: 20	Nice: 0	Threads: 1	Start: 13	Vmemory: 0	CMD: ksoftirqd/7	Memory: 0.00 MB	CPU: 0.01%
PID: 61	 PPID: 2	 Name: kworker/7:0H-events_highpri	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 13	Vmemory: 0	CMD: kworker/7:0H-events_highpri	Memory: 0.00 MB	CPU: 0.00%
PID: 62	 PPID: 2	 Name: kdevtmpfs	 State: S	 TTYGID: -1	 Flags: 2130240	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 13	Vmemory: 0	CMD: kdevtmpfs	Memory: 0.00 MB	CPU: 0.00%
PID: 63	 PPID: 2	 Name: inet_frag_wq	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 13	Vmemory: 0	CMD: inet_frag_wq	Memory: 0.00 MB	CPU: 0.00%
PID: 64	 PPID: 2	 Name: kauditd	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 13	Vmemory: 0	CMD: kauditd	Memory: 0.00 MB	CPU: 0.00%
PID: 65	 PPID: 2	 Name: khungtaskd	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 13	Vmemory: 0	CMD: khungtaskd	Memory: 0.00 MB	CPU: 0.00%
PID: 67	 PPID: 2	 Name: oom_reaper	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 14	Vmemory: 0	CMD: oom_reaper	Memory: 0.00 MB	CPU: 0.00%
