Time: 17:57 07/05/2023
PID: 56	 PPID: 2	 Name: idle_inject/7	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: idle_inject/7	Memory: 0.00 MB	CPU: 0.00%
PID: 57	 PPID: 2	 Name: migration/7	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 65	 Stime: 0	Priority: -100	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: migration/7	Memory: 0.00 MB	CPU: 0.06%
PID: 58	 PPID: 2	 Name: ksoftirqd/7	 State: S	 TTYGID: -1	 Flags: 69238848	 Utime: 0	 Stime: 14	Priority: 20	Nice: 0	Threads: 1	Start: 20	Vmemory: 0	CMD: ksoftirqd/7	Memory: 0.00 MB	CPU: 0.01%
PID: 60	 PPID: 2	 Name: kworker/7:0H-kblockd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 20	Vmemory: 0	CMD: kworker/7:0H-kblockd	Memory: 0.00 MB	CPU: 0.00%
PID: 61	 PPID: 2	 Name: kdevtmpfs	 State: S	 TTYGID: -1	 Flags: 2130240	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 21	Vmemory: 0	CMD: kdevtmpfs	Memory: 0.00 MB	CPU: 0.00%
PID: 62	 PPID: 2	 Name: inet_frag_wq	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 21	Vmemory: 0	CMD: inet_frag_wq	Memory: 0.00 MB	CPU: 0.00%
PID: 63	 PPID: 2	 Name: kauditd	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 21	Vmemory: 0	CMD: kauditd	Memory: 0.00 MB	CPU: 0.00%
PID: 64	 PPID: 2	 Name: khungtaskd	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 10	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 21	Vmemory: 0	CMD: khungtaskd	Memory: 0.00 MB	CPU: 0.01%
PID: 65	 PPID: 2	 Name: oom_reaper	 State: S	 TTYGID: -1	 Flags: 1075871808	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 21	Vmemory: 0	CMD: oom_reaper	Memory: 0.00 MB	CPU: 0.00%
PID: 66	 PPID: 2	 Name: writeback	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 21	Vmemory: 0	CMD: writeback	Memory: 0.00 MB	CPU: 0.00%
PID: 67	 PPID: 2	 Name: kcompactd0	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 435	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 21	Vmemory: 0	CMD: kcompactd0	Memory: 0.00 MB	CPU: 0.39%
PID: 68	 PPID: 2	 Name: ksmd	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 0	Priority: 25	Nice: 5	Threads: 1	Start: 21	Vmemory: 0	CMD: ksmd	Memory: 0.00 MB	CPU: 0.00%
PID: 69	 PPID: 2	 Name: khugepaged	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 52	Priority: 39	Nice: 19	Threads: 1	Start: 21	Vmemory: 0	CMD: khugepaged	Memory: 0.00 MB	CPU: 0.05%
PID: 116	 PPID: 2	 Name: kintegrityd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 21	Vmemory: 0	CMD: kintegrityd	Memory: 0.00 MB	CPU: 0.00%
PID: 117	 PPID: 2	 Name: kblockd	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 21	Vmemory: 0	CMD: kblockd	Memory: 0.00 MB	CPU: 0.00%
PID: 118	 PPID: 2	 Name: blkcg_punt_bio	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 21	Vmemory: 0	CMD: blkcg_punt_bio	Memory: 0.00 MB	CPU: 0.00%
PID: 119	 PPID: 2	 Name: tpm_dev_wq	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 32	Vmemory: 0	CMD: tpm_dev_wq	Memory: 0.00 MB	CPU: 0.00%
PID: 120	 PPID: 2	 Name: ata_sff	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 32	Vmemory: 0	CMD: ata_sff	Memory: 0.00 MB	CPU: 0.00%
PID: 121	 PPID: 2	 Name: md	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 32	Vmemory: 0	CMD: md	Memory: 0.00 MB	CPU: 0.00%
PID: 122	 PPID: 2	 Name: edac-poller	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 32	Vmemory: 0	CMD: edac-poller	Memory: 0.00 MB	CPU: 0.00%
PID: 123	 PPID: 2	 Name: devfreq_wq	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 32	Vmemory: 0	CMD: devfreq_wq	Memory: 0.00 MB	CPU: 0.00%
PID: 124	 PPID: 2	 Name: watchdogd	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 33	Vmemory: 0	CMD: watchdogd	Memory: 0.00 MB	CPU: 0.00%
PID: 127	 PPID: 2	 Name: kworker/0:1H-radeon-crtc	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 45	Priority: 0	Nice: -20	Threads: 1	Start: 35	Vmemory: 0	CMD: kworker/0:1H-radeon-crtc	Memory: 0.00 MB	CPU: 0.04%
PID: 130	 PPID: 2	 Name: kswapd0	 State: S	 TTYGID: -1	 Flags: 10618944	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 36	Vmemory: 0	CMD: kswapd0	Memory: 0.00 MB	CPU: 0.00%
PID: 131	 PPID: 2	 Name: ecryptfs-kthrea	 State: S	 TTYGID: -1	 Flags: 1075839040	 Utime: 0	 Stime: 0	Priority: 20	Nice: 0	Threads: 1	Start: 36	Vmemory: 0	CMD: ecryptfs-kthrea	Memory: 0.00 MB	CPU: 0.00%
PID: 134	 PPID: 2	 Name: kthrotld	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 37	Vmemory: 0	CMD: kthrotld	Memory: 0.00 MB	CPU: 0.00%
PID: 135	 PPID: 2	 Name: irq/122-aerdrv	 State: S	 TTYGID: -1	 Flags: 2129984	 Utime: 0	 Stime: 0	Priority: -51	Nice: 0	Threads: 1	Start: 37	Vmemory: 0	CMD: irq/122-aerdrv	Memory: 0.00 MB	CPU: 0.00%
PID: 136	 PPID: 2	 Name: acpi_thermal_pm	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 37	Vmemory: 0	CMD: acpi_thermal_pm	Memory: 0.00 MB	CPU: 0.00%
PID: 138	 PPID: 2	 Name: vfio-irqfd-clea	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 42	Vmemory: 0	CMD: vfio-irqfd-clea	Memory: 0.00 MB	CPU: 0.00%
PID: 140	 PPID: 2	 Name: mld	 State: I	 TTYGID: -1	 Flags: 69238880	 Utime: 0	 Stime: 0	Priority: 0	Nice: -20	Threads: 1	Start: 47	Vmemory: 0	CMD: mld	Memory: 0.00 MB	CPU: 0.00%
